naam;latijnse_naam;Waterbehoefte;Lichtbehoefte;Groeihoogte_cm;verkoopprijs_eur;standplaats;voorraad;bloeitijd;kleur;huisdier_vriendelijk;overview_image;additional_image1;additional_image2
Vioolbladplant Alba Spring;placeholder;Gemiddeld;Halfschaduw;296;93.09;Tussenvariant;181;Jaarrond;Oranje;Ja;tropical_twist.jpg;ipomoea_sweet_caroline_medusa_black_12824_tag.jpg;lobelia_laguna_royale_lilac_12818_tag.jpg
Vioolbladplant Alba Elite;placeholder;Gemiddeld;Halfschaduw;38;118.96;Kamerplanten;145;Lente;Groen;Nee;fruitful_0.jpg;dahlia_virtuoso_dayglo_yellow_ecogrande.jpg;sip_and_savor.jpg
Vioolbladplant Alba Prime;placeholder;Gemiddeld;Schaduw;55;142.23;Kamerplanten;75;Lente;Geel;Ja;warm_and_toasty.jpg;a_big_heart.jpg;supertunia_mini_vista_plum_veined_mono.jpg
Vioolbladplant Alba Natural;placeholder;Gemiddeld;Schaduw;197;189.34;Buitenplanten;47;Winter;Groen;Nee;ipomoea_upside_black_coffee_newtagimage.png;tell_it_to_my_heart-925x1200-7c361cb.jpg;coleus_colorblaze_mini_me_chartreuse_mono.jpg
Vioolbladplant Alba Botanic;placeholder;Laag;Halfschaduw;203;75.84;Tussenvariant;95;Lente;Geel;Ja;cuphea_totally_tempted_frosted_violet_grande_01_0.jpg;wholesome.jpg;agastache_maestro_coral_tag.jpg
Vioolbladplant Alba Lush;placeholder;Gemiddeld;Halfschaduw;82;177.47;Buitenplanten;32;Zomer;Groen;Ja;coleus_colorblaze_mini_me_chartreuse_tag.jpg;dahlia_virtuoso_classy_carmine_mono.jpg;only_vogue.jpg
Vioolbladplant Alba Fresh;placeholder;Hoog;Veel licht;144;102.18;Tussenvariant;139;Lente;Geel;Nee;ipomoea_upside_black_coffee_newtagimage.png;carex_graceful_grasses_toffee_twist_co-ex_grande25.jpg;pixie_powder_with_thriller_scene.jpg
Vioolbladplant Alba Zen;placeholder;Laag;Schaduw;272;159.77;Tussenvariant;123;Jaarrond;Groen;Ja;lobelia_laguna_royale_azure_12820_mono.jpg;phlox_southern_blaze_bright_pink_12828_mono.jpg;scaevola_stardiva_pink_mono.jpg
Vioolbladplant Alba Wild;placeholder;Hoog;Veel licht;38;113.68;Buitenplanten;105;Zomer;Roze;Nee;superbells_magic_double_grapefruit_calibrachoa_2815_mono.jpg;portulaca_mojave_fuchsia_co-ex_grande_25.jpg;cuphea_totally_tempted_frosted_violet_ecogrande.jpg
Vioolbladplant Alba Soft;placeholder;Hoog;Veel licht;199;39.1;Kamerplanten;121;Lente;Geel;Ja;scaevola_whirlwind_white_12305_tag.jpg;dahlia_virtuoso_vibrant_violet_tag.jpg;cuphea_totally_tempted_richly_red_mono.jpg
Vioolbladplant Alba Bright;placeholder;Gemiddeld;Schaduw;137;139.56;Tussenvariant;152;Winter;Rood;Ja;supertunia_bermuda_beach_tag_25.jpg;bidens_campfire_red_ember_12816_mono.jpg;portulaca_mojave_mango_mono.jpg
Vioolbladplant Alba Calm;placeholder;Hoog;Halfschaduw;180;19.02;Buitenplanten;50;Lente;Rood;Nee;moonlit_lavender_basket.jpg;american_blues.jpg;angelonia_angelface_wedgwood_pink_mono.jpg
Vioolbladplant Rosea Select;placeholder;Gemiddeld;Veel licht;278;142.6;Buitenplanten;91;Lente;Rood;Ja;carex_graceful_grasses_toffee_twist_mono25_2.jpg;cuphea_totally_tempted_watermelon_wine_tag.jpg;quaint_cottage.jpg
Vioolbladplant Rosea Beauty;placeholder;Laag;Schaduw;49;120.25;Tussenvariant;142;Lente;Blauw;Ja;wholesome.jpg;scaevola_stardiva_white_mono.jpg;pink_parrot-1201x1003-c8971dd.jpg
Vioolbladplant Rosea Princess;placeholder;Hoog;Schaduw;273;112.13;Kamerplanten;175;Winter;Wit;Nee;nemesia_bluebird_mono.jpg;supertunia_blue_tiara_mono.jpg;phlox_southern_blaze_bright_pink_12828_mono.jpg
Vioolbladplant Rosea King;placeholder;Hoog;Veel licht;279;134.22;Buitenplanten;19;Zomer;Rood;Nee;pink_parrot-1201x1003-c8971dd.jpg;cuphea_totally_tempted_richly_red_grande.jpg;whimsy.jpg
Vioolbladplant Rosea Queen;placeholder;Laag;Halfschaduw;17;172.04;Buitenplanten;79;Herfst;Paars;Nee;portulaca_mojave_tangerine_ecogrande_25.jpg;ipomoea_sweet_caroline_sweetheart_shadowstorm_12823_tag.jpg;dahlia_virtuoso_dayglo_yellow_grande.jpg
Vioolbladplant Rosea Gem;placeholder;Gemiddeld;Schaduw;22;122.66;Buitenplanten;33;Jaarrond;Paars;Ja;perfection.jpg;sunshine_state_w-thriller_scene-4480x6720-a4f0068.jpg;cuphea_totally_tempted_frosted_violet_mono_0.jpg
Vioolbladplant Rosea Delight;placeholder;Hoog;Veel licht;100;108.13;Buitenplanten;85;Zomer;Rood;Nee;portulaca_mojave_mango_co-ex_grande.jpg;dahlia_virtuoso_dayglo_yellow_mono.jpg;crisp_and_clear.jpg
Vioolbladplant Rosea Flame;placeholder;Hoog;Schaduw;294;49.77;Tussenvariant;47;Herfst;Groen;Ja;salvia_unplugged_white_grande.jpg;dahlia_virtuoso_classy_carmine_mono.jpg;emerald_isle_alocasia-4640x6960-85b4e9f.jpg
Vioolbladplant Rosea Mist;placeholder;Hoog;Halfschaduw;24;23.04;Kamerplanten;169;Zomer;Paars;Nee;whimsy.jpg;angelonia_angelface_white_grande_25.jpg;brushstrokes.jpg
Vioolbladplant Rosea Pearl;placeholder;Gemiddeld;Veel licht;225;83.29;Kamerplanten;15;Lente;Geel;Ja;dahlia_virtuoso_pinkerific_mono.jpg;heart_pounding.jpg;heart_pounding.jpg
Vioolbladplant Rosea Glow;placeholder;Hoog;Schaduw;71;6.78;Buitenplanten;127;Zomer;Paars;Ja;dahlia_virtuoso_rad_raz_grande.jpg;dahlia_virtuoso_classy_carmine_mono.jpg;i_got_you.jpg
Vioolbladplant Rosea Charm;placeholder;Hoog;Veel licht;266;66.01;Tussenvariant;121;Jaarrond;Blauw;Ja;whisk_me_away.jpg;dahlia_virtuoso_vibrant_violet_grande.jpg;dahlia_virtuoso_rad_raz_mono.jpg
Vioolbladplant Rosea Dream;placeholder;Hoog;Halfschaduw;49;18.68;Buitenplanten;81;Winter;Groen;Nee;angelonia_angelface_white_grande_25.jpg;bohemian.jpg;heliotropium_aromagica_purple_tag.jpg
Vioolbladplant Rosea Classic;placeholder;Hoog;Veel licht;218;168.55;Kamerplanten;19;Zomer;Roze;Ja;quaint_cottage.jpg;portulaca_mojave_mango_ecogrande.jpg;secret_cove.jpg
Vioolbladplant Rosea Royal;placeholder;Laag;Veel licht;116;162.99;Buitenplanten;49;Zomer;Wit;Ja;supertunia_blue_tiara_tag_rgb.jpg;portulaca_mojave_tangerine_mono25.jpg;supertunia_mini_vista_pink_cloud_12822_mono.jpg
Vioolbladplant Rosea Sunrise;placeholder;Hoog;Halfschaduw;218;26.47;Kamerplanten;69;Jaarrond;Paars;Ja;angelonia_angelface_white_tag.jpg;portulaca_mojave_mango_co-ex_grande.jpg;dahlia_virtuoso_vibrant_violet_grande.jpg
Vioolbladplant Rosea Sunset;placeholder;Gemiddeld;Schaduw;22;165.75;Buitenplanten;50;Winter;Rood;Ja;dahlia_virtuoso_classy_carmine_ecogrande_0.jpg;vista_view_basket.jpg;carex_graceful_grasses_toffee_twist_mono25_2.jpg
Vioolbladplant Rosea Snow;placeholder;Laag;Schaduw;51;61.12;Kamerplanten;134;Zomer;Roze;Nee;supertunia_bordeaux_2026_mono.jpg;tango_dance.jpg;heart_to_heart_bottle_rocket.png
Vioolbladplant Rosea Emerald;placeholder;Gemiddeld;Veel licht;162;43.15;Buitenplanten;19;Lente;Oranje;Ja;to_die_for_heart-soul_va-va-violet.png;yard_makeover_121-600x400-d9c3bb2.jpg;southern_voyage-1162x1200-3db4131.jpg
Vioolbladplant Rosea Ruby;placeholder;Hoog;Halfschaduw;78;174.14;Kamerplanten;169;Lente;Wit;Ja;called_your_bluff_0.jpg;wholesome.jpg;portulaca_mojave_fuchsia_co-ex_grande_25.jpg
Vioolbladplant Rosea Sapphire;placeholder;Gemiddeld;Veel licht;283;131.38;Tussenvariant;54;Zomer;Wit;Ja;nemesia_bluebird_tag.jpg;brushstrokes.jpg;hearth_and_home.jpg
Vioolbladplant Rosea Moon;placeholder;Hoog;Veel licht;274;104.48;Buitenplanten;53;Lente;Roze;Ja;artisan_attire.jpg;style_oasis.jpg;hold_me_tight_recipe_in_legacy_stone_boston_urn_greige_stone_02.jpg
Vioolbladplant Rosea Spirit;placeholder;Laag;Halfschaduw;63;107.94;Buitenplanten;93;Lente;Oranje;Ja;portulaca_mojave_mango_mono.jpg;alocasia_heart_to_heart_emerald_isle_1-gal.jpg;dahlia_virtuoso_vibrant_violet_mono.jpg
Vioolbladplant Rosea Grace;placeholder;Hoog;Schaduw;132;75.71;Tussenvariant;151;Winter;Wit;Nee;eclectic_elegance.jpg;begonia_space_age_triton_mono.jpg;island_paradise-872x1200-ac7b053.jpg
Vioolbladplant Rosea Harmony;placeholder;Gemiddeld;Halfschaduw;259;99.19;Buitenplanten;104;Herfst;Wit;Nee;salvia_unplugged_red_tag.jpg;begonia_space_age_europa_mono.jpg;eclectic_elegance.jpg
Vioolbladplant Rosea Wonder;placeholder;Gemiddeld;Schaduw;297;109.4;Kamerplanten;135;Jaarrond;Paars;Ja;ipomoea_sweet_caroline_sweetheart_shadowstorm_12823_mono.jpg;agastache_maestro_gold_mono.jpg;angelonia_angelface_wedgwood_pink_tag.jpg
Vioolbladplant Rosea Magic;placeholder;Laag;Veel licht;280;142.55;Kamerplanten;30;Herfst;Wit;Nee;rockapulco_rose_0_0.jpg;bidens_campfire_red_ember_12816_mono.jpg;cuphea_totally_tempted_frosted_violet_macro_01.jpg
Vioolbladplant Rosea Velour;placeholder;Laag;Veel licht;136;153.8;Tussenvariant;33;Jaarrond;Paars;Ja;cuphea_totally_tempted_watermelon_wine_tag.jpg;vista_view.jpg;artisan_attire.jpg
Vioolbladplant Rosea Crown;placeholder;Laag;Schaduw;70;78.45;Tussenvariant;186;Zomer;Geel;Nee;begonia_space_age_triton_ecogrande.jpg;dahlia_virtuoso_classy_carmine_tag.jpg;dahlia_virtuoso_dayglo_yellow_tag.jpg
Vioolbladplant Rosea Bloom;placeholder;Laag;Veel licht;53;113.96;Tussenvariant;115;Winter;Wit;Nee;vista_view.jpg;begonia_space_age_europa_ecogrande.jpg;ipomoea_sweet_caroline_medusa_black_12824_mono.jpg
Vioolbladplant Rosea Blush;placeholder;Laag;Schaduw;212;122.34;Kamerplanten;127;Zomer;Roze;Ja;alocasia_heart_to_heart_emerald_isle_1-gal.jpg;carex_graceful_grasses_toffee_twist_tag_25.jpg;supertunia_bermuda_beach_mono_25.jpg
Vioolbladplant Rosea Forest;placeholder;Laag;Schaduw;131;176.37;Kamerplanten;69;Winter;Blauw;Ja;only_vogue.jpg;retro_chic.jpg;alocasia_heart_to_heart_emerald_isle_1-gal.jpg
Vioolbladplant Rosea Sky;placeholder;Laag;Veel licht;174;162.09;Tussenvariant;53;Herfst;Roze;Ja;salvia_unplugged_red_mono.jpg;dahlia_virtuoso_pinkerific_mono.jpg;dahlia_virtuoso_vibrant_violet_ecogrande.jpg
Vioolbladplant Rosea Ocean;placeholder;Hoog;Halfschaduw;102;170.92;Tussenvariant;21;Lente;Groen;Ja;ipomoea_sweet_caroline_sweetheart_shadowstorm_12823_tag.jpg;corner_cafe.jpg;blossom_house.jpg
Vioolbladplant Rosea Frost;placeholder;Gemiddeld;Halfschaduw;180;6.11;Kamerplanten;130;Lente;Geel;Nee;angelonia_angelface_white_tag.jpg;lobelia_laguna_royale_azure_12820_mono.jpg;begonia_space_age_triton_ecogrande.jpg
Vioolbladplant Rosea Summer;placeholder;Gemiddeld;Schaduw;58;156.4;Tussenvariant;83;Lente;Geel;Ja;angelonia_angelface_white_grande_25.jpg;superbells_magic_double_grapefruit_calibrachoa_2815_tag.jpg;dahlia_virtuoso_pinkerific_tag.jpg
Vioolbladplant Rosea Autumn;placeholder;Laag;Veel licht;137;44.97;Tussenvariant;9;Zomer;Paars;Nee;dahlia_virtuoso_vibrant_violet_grande.jpg;lobelia_laguna_royale_lilac_12818_mono.jpg;to_die_for_heart-soul_va-va-violet.png
Vioolbladplant Rosea Winter;placeholder;Hoog;Schaduw;263;181.39;Kamerplanten;112;Zomer;Geel;Ja;sunshine_state_w-thriller_scene-4480x6720-a4f0068.jpg;supertunia_mini_vista_plum_veined_grande_01.jpg;cuphea_totally_tempted_frosted_violet_grande_01_0.jpg
Vioolbladplant Rosea Spring;placeholder;Hoog;Schaduw;48;106.21;Tussenvariant;188;Zomer;Oranje;Nee;dahlia_virtuoso_rad_raz_tag_1.jpg;scaevola_stardiva_blue_tag.jpg;portulaca_mojave_tangerine_ecogrande_25.jpg
Vioolbladplant Rosea Elite;placeholder;Laag;Veel licht;139;32.35;Kamerplanten;51;Herfst;Geel;Nee;called_your_bluff_0.jpg;bidens_campfire_red_ember_12816_mono.jpg;cuphea_totally_tempted_frosted_violet_ecogrande.jpg
Vioolbladplant Rosea Prime;placeholder;Gemiddeld;Halfschaduw;162;114.51;Kamerplanten;75;Winter;Rood;Nee;scaevola_whirlwind_white_12305_tag.jpg;angelonia_angelface_white_mono.jpg;portulaca_mojave_tangerine_ecogrande_25.jpg
Vioolbladplant Rosea Natural;placeholder;Laag;Halfschaduw;251;40.52;Buitenplanten;199;Lente;Blauw;Ja;salvia_unplugged_red_mono.jpg;portulaca_mojave_mango_tag.jpg;gigi.jpg
Vioolbladplant Rosea Botanic;placeholder;Hoog;Veel licht;162;44.23;Buitenplanten;90;Winter;Geel;Nee;ipomoea_sweet_caroline_medusa_black_12824_mono.jpg;artisan_attire.jpg;chic_boutique_0.jpg
Vioolbladplant Rosea Lush;placeholder;Laag;Veel licht;56;82.44;Buitenplanten;162;Lente;Paars;Ja;portulaca_mojave_mango_mono.jpg;send_me_an_angel-900x1200-e17b42d.jpg;portulaca_mojave_fuchsia_tag_25.jpg
Vioolbladplant Rosea Fresh;placeholder;Laag;Schaduw;286;54.91;Buitenplanten;1;Lente;Wit;Nee;dahlia_virtuoso_vibrant_violet_tag.jpg;dahlia_virtuoso_rad_raz_tag_1.jpg;cuphea_totally_tempted_richly_red_mono.jpg
Vioolbladplant Rosea Zen;placeholder;Hoog;Schaduw;78;180.99;Tussenvariant;26;Winter;Blauw;Nee;scaevola_stardiva_pink_mono.jpg;portulaca_mojave_fuchsia_ecogrande_25.jpg;lobelia_laguna_royale_azure_12820_mono.jpg
Vioolbladplant Rosea Wild;placeholder;Hoog;Veel licht;199;95.65;Kamerplanten;60;Zomer;Rood;Nee;begonia_surefire_cascade_red_12825_mono.jpg;angelonia_angelface_white_tag.jpg;dahlia_virtuoso_rad_raz_ecogrande_0.jpg
Vioolbladplant Rosea Soft;placeholder;Hoog;Halfschaduw;83;179.62;Kamerplanten;6;Lente;Blauw;Nee;dahlia_virtuoso_pinkerific_tag_0.jpg;southern_voyage-1162x1200-3db4131.jpg;moonlit_lavender_basket.jpg
Vioolbladplant Rosea Bright;placeholder;Gemiddeld;Schaduw;200;109.66;Tussenvariant;197;Lente;Paars;Nee;phlox_southern_blaze_bright_pink_12828_mono.jpg;supertunia_mini_vista_pink_cloud_12822_tag.jpg;portulaca_mojave_fuchsia_co-ex_grande_25.jpg
Vioolbladplant Rosea Calm;placeholder;Hoog;Schaduw;140;139.78;Tussenvariant;111;Zomer;Wit;Nee;love_bug.jpg;salvia_unplugged_red_ecogrande.jpg;begonia_space_age_triton_ecogrande.jpg
Vioolbladplant Purpurea Select;placeholder;Hoog;Halfschaduw;135;145.0;Tussenvariant;50;Herfst;Paars;Nee;speedster.jpg;begonia_space_age_europa_ecogrande.jpg;angelonia_angelface_white_mono.jpg
Vioolbladplant Purpurea Beauty;placeholder;Hoog;Schaduw;235;17.7;Buitenplanten;77;Lente;Blauw;Ja;agastache_maestro_coral_co-ex_grande.jpg;scaevola_stardiva_blue_ecogrande.jpg;scaevola_stardiva_white_ecogrande.jpg
Vioolbladplant Purpurea Princess;placeholder;Gemiddeld;Schaduw;222;167.03;Buitenplanten;154;Jaarrond;Groen;Ja;nemesia_bluebird_tag.jpg;cuphea_totally_tempted_richly_red_grande.jpg;whimsy.jpg
Vioolbladplant Purpurea King;placeholder;Gemiddeld;Schaduw;259;158.3;Kamerplanten;61;Zomer;Paars;Ja;heliotropium_aromagica_purple_tag_0.jpg;supertunia_mini_vista_plum_veined_mono.jpg;only_vogue.jpg
Vioolbladplant Purpurea Queen;placeholder;Gemiddeld;Veel licht;85;71.32;Kamerplanten;15;Lente;Blauw;Ja;scaevola_stardiva_white_tag.jpg;style_oasis.jpg;tango_dance.jpg
Vioolbladplant Purpurea Gem;placeholder;Laag;Halfschaduw;239;73.86;Kamerplanten;114;Zomer;Oranje;Ja;phlox_southern_blaze_bright_pink_12828_tag.jpg;berry_express.jpg;portulaca_mojave_mango_mono.jpg
Vioolbladplant Purpurea Delight;placeholder;Laag;Schaduw;80;113.65;Kamerplanten;185;Jaarrond;Oranje;Ja;lobelia_laguna_royale_pink_12819_mono.jpg;nemesia_bluebird_mono.jpg;supertunia_mini_vista_plum_veined_grande_01.jpg
Vioolbladplant Purpurea Flame;placeholder;Gemiddeld;Halfschaduw;82;172.44;Tussenvariant;6;Jaarrond;Wit;Nee;begonia_space_age_europa_macro_02.jpg;corner_cafe.jpg;supertunia_mini_vista_plum_veined_tag.jpg
Vioolbladplant Purpurea Mist;placeholder;Laag;Veel licht;206;89.52;Kamerplanten;157;Lente;Oranje;Ja;style_oasis.jpg;begonia_space_age_triton_macro_03.jpg;lobelia_laguna_royale_lilac_12818_tag.jpg
Vioolbladplant Purpurea Pearl;placeholder;Gemiddeld;Veel licht;133;42.38;Buitenplanten;190;Zomer;Roze;Nee;dahlia_virtuoso_rad_raz_grande.jpg;tell_it_to_my_heart-925x1200-7c361cb.jpg;berry_express.jpg
Vioolbladplant Purpurea Glow;placeholder;Gemiddeld;Schaduw;100;95.21;Tussenvariant;154;Winter;Paars;Ja;bold_symphony.png;dahlia_virtuoso_vibrant_violet_tag.jpg;dahlia_virtuoso_classy_carmine_mono.jpg
Vioolbladplant Purpurea Charm;placeholder;Gemiddeld;Schaduw;40;117.61;Tussenvariant;195;Zomer;Geel;Nee;called_your_bluff_0.jpg;saffron_sunrise_basket.jpg;angelonia_angelface_white_ecogrande25.jpg
Vioolbladplant Purpurea Dream;placeholder;Hoog;Halfschaduw;118;41.04;Tussenvariant;52;Jaarrond;Blauw;Nee;carex_graceful_grasses_toffee_twist_mono25_2.jpg;secret_cove.jpg;cuphea_totally_tempted_frosted_violet_macro_01.jpg
Vioolbladplant Purpurea Classic;placeholder;Gemiddeld;Schaduw;262;39.27;Kamerplanten;190;Jaarrond;Blauw;Nee;supertunia_blue_tiara_mono.jpg;salvia_unplugged_red_tag.jpg;supertunia_mini_vista_plum_veined_mono.jpg
Vioolbladplant Purpurea Royal;placeholder;Gemiddeld;Schaduw;71;116.88;Buitenplanten;75;Jaarrond;Paars;Ja;dahlia_virtuoso_rad_raz_tag_1.jpg;dahlia_virtuoso_vibrant_violet_ecogrande.jpg;yard_makeover_121-600x400-d9c3bb2.jpg
Vioolbladplant Purpurea Sunrise;placeholder;Gemiddeld;Halfschaduw;287;156.58;Tussenvariant;58;Jaarrond;Blauw;Ja;memories.jpg;caladium_heart_to_heart_creme_brulee_12829_tag.jpg;agastache_maestro_gold_macro_02.jpg
Vioolbladplant Purpurea Sunset;placeholder;Laag;Schaduw;134;74.36;Kamerplanten;146;Jaarrond;Paars;Nee;whisk_me_away.jpg;corner_cafe.jpg;tropical_twist.jpg
Vioolbladplant Purpurea Snow;placeholder;Gemiddeld;Schaduw;21;162.76;Tussenvariant;10;Herfst;Groen;Ja;supertunia_blue_tiara_tag_rgb.jpg;angelonia_angelface_white_mono_25.jpg;supertunia_bordeaux_2026_mono.jpg
Vioolbladplant Purpurea Emerald;placeholder;Hoog;Halfschaduw;162;73.67;Buitenplanten;73;Lente;Wit;Nee;southern_voyage-1162x1200-3db4131.jpg;scaevola_stardiva_white_co-ex_grande.jpg;supertunia_mini_vista_plum_veined_mono.jpg
Vioolbladplant Purpurea Ruby;placeholder;Hoog;Veel licht;36;46.78;Tussenvariant;133;Herfst;Oranje;Ja;phlox_southern_blaze_bright_pink_12828_mono.jpg;carex_graceful_grasses_toffee_twist_co-ex_grande25.jpg;supertunia_mini_vista_plum_veined_tag.jpg
Vioolbladplant Purpurea Sapphire;placeholder;Laag;Halfschaduw;124;154.99;Tussenvariant;18;Herfst;Blauw;Nee;island_paradise-872x1200-ac7b053.jpg;eclectic_elegance.jpg;bohemian.jpg
Vioolbladplant Purpurea Moon;placeholder;Laag;Halfschaduw;81;128.77;Buitenplanten;93;Winter;Blauw;Nee;crisp_and_clear.jpg;heart_to_heart_bottle_rocket.png;dahlia_virtuoso_classy_carmine_tag.jpg
Vioolbladplant Purpurea Spirit;placeholder;Gemiddeld;Schaduw;168;98.06;Buitenplanten;74;Jaarrond;Geel;Ja;ipomoea_sweet_caroline_sweetheart_shadowstorm_12823_tag.jpg;supertunia_bermuda_beach_ecogrande_25.jpg;hearth_and_home.jpg
Vioolbladplant Purpurea Grace;placeholder;Gemiddeld;Halfschaduw;113;42.65;Kamerplanten;157;Jaarrond;Roze;Nee;emerald_isle_alocasia-4640x6960-85b4e9f.jpg;dancing_with_the_moon.jpg;coleus_colorblaze_mini_me_chartreuse_tag_0.jpg
Vioolbladplant Purpurea Harmony;placeholder;Hoog;Veel licht;202;118.18;Kamerplanten;137;Zomer;Rood;Ja;begonia_space_age_triton_macro_03.jpg;gigi.jpg;cuphea_totally_tempted_watermelon_wine_mono.jpg
Vioolbladplant Purpurea Wonder;placeholder;Gemiddeld;Halfschaduw;69;62.78;Buitenplanten;35;Zomer;Wit;Ja;portulaca_mojave_tangerine_tag.jpg;whimsy.jpg;dahlia_virtuoso_classy_carmine_ecogrande_0.jpg
Vioolbladplant Purpurea Magic;placeholder;Laag;Schaduw;115;177.51;Buitenplanten;76;Winter;Oranje;Nee;cuphea_totally_tempted_frosted_violet_mono.jpg;angelonia_angelface_white_tag_25.jpg;portulaca_mojave_fuchsia_ecogrande_25.jpg
Vioolbladplant Purpurea Velour;placeholder;Hoog;Schaduw;185;12.54;Kamerplanten;87;Jaarrond;Groen;Ja;vista_view.jpg;fruitful_0.jpg;begonia_space_age_triton_co-ex_grande.jpg
Vioolbladplant Purpurea Crown;placeholder;Hoog;Halfschaduw;164;95.44;Kamerplanten;141;Lente;Roze;Ja;cuphea_totally_tempted_vivid_violet_tag.jpg;dahlia_virtuoso_dayglo_yellow_grande.jpg;utopia.jpg
Vioolbladplant Purpurea Bloom;placeholder;Gemiddeld;Schaduw;168;96.11;Buitenplanten;108;Herfst;Rood;Nee;supertunia_bermuda_beach_ecogrande_25.jpg;begonia_space_age_black_hole_ecogrande.jpg;begonia_space_age_europa_macro_02.jpg
Vioolbladplant Purpurea Blush;placeholder;Laag;Schaduw;77;88.34;Kamerplanten;46;Jaarrond;Wit;Ja;dahlia_virtuoso_dayglo_yellow_mono.jpg;heart_pounding.jpg;cuphea_totally_tempted_richly_red_tag.jpg
Vioolbladplant Purpurea Forest;placeholder;Laag;Halfschaduw;288;8.8;Kamerplanten;102;Jaarrond;Oranje;Ja;mother_earth-1201x1196-99fe97e.jpg;begonia_surefire_cascade_red_12825_mono.jpg;carex_graceful_grasses_toffee_twist_ecogrande25.jpg
Vioolbladplant Purpurea Sky;placeholder;Laag;Halfschaduw;56;152.67;Buitenplanten;122;Lente;Roze;Nee;rockapulco_rose_0_0.jpg;heart_pounding.jpg;supertunia_vista_cool_jazz_12821_tag.jpg
Vioolbladplant Purpurea Ocean;placeholder;Gemiddeld;Veel licht;31;131.58;Tussenvariant;27;Herfst;Oranje;Nee;scaevola_stardiva_white_ecogrande.jpg;only_vogue.jpg;salvia_unplugged_white_grande.jpg
Vioolbladplant Purpurea Frost;placeholder;Laag;Veel licht;64;109.54;Tussenvariant;81;Zomer;Blauw;Nee;angelonia_angelface_white_tag_25.jpg;lobelia_laguna_royale_azure_12820_tag.jpg;vista_view_basket.jpg
Vioolbladplant Purpurea Summer;placeholder;Gemiddeld;Halfschaduw;282;164.93;Kamerplanten;58;Lente;Wit;Ja;polar_peach_w-thriller_scene.jpg;begonia_space_age_black_hole_mono.jpg;carex_graceful_grasses_toffee_twist_mono25_2.jpg
Vioolbladplant Purpurea Autumn;placeholder;Laag;Halfschaduw;84;80.06;Buitenplanten;157;Zomer;Paars;Nee;chic_boutique_0.jpg;polar_peach_w-thriller_scene.jpg;angelonia_angelface_white_mono_25.jpg
Vioolbladplant Purpurea Winter;placeholder;Hoog;Schaduw;257;186.79;Buitenplanten;194;Zomer;Paars;Nee;mother_earth-1201x1196-99fe97e.jpg;dahlia_virtuoso_rad_raz_mono.jpg;love_me_forever.jpg
Vioolbladplant Purpurea Spring;placeholder;Laag;Halfschaduw;174;125.16;Buitenplanten;76;Winter;Oranje;Ja;last_night.jpg;salvia_unplugged_white_grande.jpg;caladium_heart_to_heart_creme_brulee_12829_tag.jpg
Vioolbladplant Purpurea Elite;placeholder;Laag;Schaduw;255;97.22;Buitenplanten;66;Lente;Groen;Nee;yard_makeover_121-600x400-d9c3bb2.jpg;emerald_isle_alocasia-4640x6960-85b4e9f.jpg;tropical_twist.jpg
Vioolbladplant Purpurea Prime;placeholder;Laag;Halfschaduw;191;132.16;Buitenplanten;43;Winter;Rood;Ja;bold_symphony.png;scaevola_stardiva_pink_tag.jpg;fruitful_0.jpg
Vioolbladplant Purpurea Natural;placeholder;Laag;Veel licht;228;71.4;Kamerplanten;125;Jaarrond;Roze;Ja;berry_express.jpg;carex_graceful_grasses_toffee_twist_ecogrande25.jpg;supertunia_mini_vista_plum_veined_grande_01.jpg
Vioolbladplant Purpurea Botanic;placeholder;Laag;Halfschaduw;82;47.4;Buitenplanten;6;Lente;Oranje;Ja;begonia_space_age_triton_mono.jpg;cuphea_totally_tempted_frosted_violet_co-ex_grande_01.jpg;memories.jpg
Vioolbladplant Purpurea Lush;placeholder;Laag;Schaduw;202;152.18;Tussenvariant;168;Winter;Rood;Nee;kindness.jpg;sunshine_state_w-thriller_scene-4480x6720-a4f0068.jpg;secret_cove.jpg
Vioolbladplant Purpurea Fresh;placeholder;Gemiddeld;Schaduw;218;150.46;Buitenplanten;107;Zomer;Geel;Ja;UNKNOWN;love_me_forever.jpg;dahlia_virtuoso_pinkerific_tag_0.jpg
Vioolbladplant Purpurea Zen;placeholder;Laag;Halfschaduw;202;40.03;Tussenvariant;75;Winter;Blauw;Nee;memories.jpg;scaevola_whirlwind_white_12305_mono.jpg;bohemian.jpg
Vioolbladplant Purpurea Wild;placeholder;Laag;Halfschaduw;144;104.55;Kamerplanten;150;Zomer;Paars;Nee;dahlia_virtuoso_vibrant_violet_tag.jpg;bold_symphony.png;portulaca_mojave_fuchsia_co-ex_grande_25.jpg
Vioolbladplant Purpurea Soft;placeholder;Gemiddeld;Schaduw;180;130.43;Buitenplanten;42;Winter;Paars;Ja;last_night.jpg;artisan_attire.jpg;ipomoea_upside_key_lime_newtagimage.png
Vioolbladplant Purpurea Bright;placeholder;Hoog;Halfschaduw;185;170.1;Kamerplanten;4;Herfst;Geel;Nee;scaevola_stardiva_white_ecogrande.jpg;supertunia_bermuda_beach_tag_25.jpg;im_in_heaven.jpg
